CreateDate,Erstgespräch,Abschlussgespräch,Angebot unterschrieben,Handover,Absage,utm_campaign,Absage - Grund
2026-04-03,2026-04-09,2026-04-15,2026-04-18,,,B2C | DE | Search | K1a Dynamischer Stromtarif (Long-Tail),
2026-04-05,,,,,,B2C | DE | Search | K1b Dynamischer Stromtarif (Head-Term),
2026-04-07,2026-04-11,,,2026-04-28,,B2C | DE | Search | K2 HEMS,
2026-04-09,,,,,2026-04-11,B2C | DE | Search | K1b Dynamischer Stromtarif (Head-Term),Falsche Kontaktinfos
2026-04-10,2026-04-15,,,,,B2C | DE | Search | K1a Dynamischer Stromtarif (Long-Tail),
2026-04-12,2026-04-17,2026-04-22,,,2026-04-25,B2C | DE | Search | K3 Smart Meter Tarif,Preis zu hoch
2026-04-14,2026-04-19,,2026-04-26,,,B2C | DE | Search | K1a Dynamischer Stromtarif (Long-Tail),
2026-04-16,2026-04-21,2026-04-26,,,,B2C | DE | Search | K7 Competitor: Tibber,
2026-04-18,2026-04-23,2026-04-28,2026-04-30,,,bullfinch-partner-referral,
2026-04-21,,,,,2026-04-23,,Falsche Kontaktinfos
2026-04-24,2026-04-29,,,,, ,
2026-05-05,2026-05-10,2026-05-15,2026-05-18,,,B2C | DE | Search | K1a Dynamischer Stromtarif (Long-Tail),
2026-05-06,,,,,2026-05-08,B2C | DE | Search | K1c Dynamischer Stromtarif (Research),Kein Interesse
2026-05-08,2026-05-13,,,,, ,
2026-05-10,2026-05-14,,,,,B2C | DE | Search | K5 PV-Eigenverbrauch,
2026-05-12,,,,,2026-05-14,B2C | DE | Search | K6 Competitor: Heartbeat,Falsche Kontaktinfos
2026-05-14,2026-05-19,2026-05-23,,,2026-05-26,B2C | DE | Search | K1a Dynamischer Stromtarif (Long-Tail),Preis zu hoch
2026-05-16,2026-05-21,,2026-05-27,,,B2C | DE | Search | K1b Dynamischer Stromtarif (Head-Term),
2026-05-19,2026-05-24,,,,, ,
2026-05-21,,,,,2026-05-23,B2C | DE | Search | K2 HEMS,Technische Bedenken
2026-05-26,2026-05-30,,,,, ,
2026-05-28,,,,,,B2C | DE | Search | K3 Smart Meter Tarif,
2026-06-02,,,,,2026-06-04,B2C | DE | Search | K1b Dynamischer Stromtarif (Head-Term),Falsche Kontaktinfos
2026-06-03,,,,,,,
2026-06-04,2026-06-08,,,,, ,
